@relation sentiment-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute tweet string
@attribute polarity {negative,positive}

@data

1,'username url  aww thats a bummer  you shoulda got david carr of third day to do it ',negative
2,'is upset that he cant update his facebook by texting it and might cry as a result  school today also blah',negative
3,'username i dived many times for the ball managed to save 50  the rest go out of bounds',negative
4,'my whole body feels itchy and like its on fire ',negative
5,'username no its not behaving at all im mad why am i here because i cant see you all over there ',negative
6,'username not the whole crew ',negative
7,'need a hug ',negative
8,'username hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you ',negative
9,'username nope they didnt have it ',negative
10,'username que me muera  ',negative
11,'spring break in plain city its snowing ',negative
12,'i just repierced my ears ',negative
13,'username i couldnt bear to watch it  and i thought the ua loss was embarrassing     ',negative
14,'username it it counts idk why i did either you never talk to me anymore ',negative
15,'username i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown',negative
16,'username i wish i got to watch it with you i miss you and username  how was the premiere',negative
17,'hollis death scene will hurt me severely to watch on film  wry is directors cut not out now',negative
18,'about to file taxes ',negative
19,'username ahh ive always wanted to see rent  love the soundtrack',negative
20,'username oh dear were you drinking out of the forgotten table drinks ',negative
21,'username i was out most of the day so didnt get much done ',negative
22,'one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh ',negative
23,'username i baked you a cake but i ated it ',negative
24,'this week is not going as i had hoped ',negative
25,'blagh class at 8 tomorrow ',negative
26,'i hate when i have to call and wake people up ',negative
27,'just going to cry myself to sleep after watching marley and me  ',negative
28,'im sad now  misslilly',negative
29,'ooh lol  that leslie and ok i wont do it again so leslie wont  get mad again ',negative
30,'meh almost lover is the exception this track gets me depressed every time ',negative
31,'some1 hacked my account on aim  now i have to make a new one',negative
32,'username i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though',negative
33,'thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon ',negative
34,'username awe i love you too 1 am here  i miss you',negative
35,'username i cry my asian eyes to sleep at night ',negative
36,'ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now ',negative
37,'username ill tell ya the story later  not a good day and ill be workin for like three more hours',negative
38,'username sorry bed time came here gmt1   url',negative
39,'username i dont either its depressing i dont think i even want to know about the kids in suitcases ',negative
40,'bed class 812 work 123 gym 35 or 6 then class 610 another day thats gonna fly by i miss my girlfriend ',negative
41,'really dont feel like getting up today but got to study to for tomorrows practical exam ',negative
42,'hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart ',negative
43,'sad sad sad i dont know why but i hate this feeling  i wanna sleep and i still cant',negative
44,'username aww i soo wish i was there to see you finally comfortable im sad that i missed it ',negative
45,'falling asleep just heard about that tracy girls body being found how sad  my heart breaks for that family',negative
46,'username yay im happy for you with your job but that also means less time for me and you ',negative
47,'just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w bgs and uids',negative
48,'oh manwas ironing username fave top to wear to a meeting burnt it ',negative
49,'is strangely sad about lilo and samro breaking up ',negative
50,'username oh im so sorry  i didnt think about that before retweeting',negative
51,'broadband plan a massive broken promise url via wwdiigocomtautao still waiting for broadband we are ',negative
52,'username wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot ',negative
53,'our duck and chicken are taking wayy too long to hatch ',negative
54,'put vacation photos online a few yrs ago pc crashed and now i forget the name of the site ',negative
55,'i need a hug ',negative
56,'username not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy ',negative
57,'username i hate when that happens ',negative
58,'i have a sad feeling that dallas is not going to show up  i gotta say though youd think more shows would use music from the game mm',negative
59,'ugh92 degrees tomorrow ',negative
60,'where did u move to  i thought u were already in sd  hmm random u found me glad to hear yer doing well',negative
61,'username i miss my ps3 its out of commission  wutcha playing have you copped blood on the sand',negative
62,'just leaving the parking lot of work ',negative
63,'the life is cool but not for me ',negative
64,'sadly though ive never gotten to experience the post coitus cigarette before and now i never will ',negative
65,'i had such a nice day too bad the rain comes in tomorrow at 5am ',negative
66,'username too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks ',negative
67,'damm back to school tomorrow ',negative
68,'mo jobs no money  how in the hell is min wage here 4 fn clams an hour',negative
69,'username  not forever see you soon',negative
70,'username agreed i saw the failwhale all day today ',negative
71,'username oh haha dude i dont really look at em unless someone says hey i added you sorry  im so terrible at that i need a pop up',negative
72,'username im sure youre right    i need to start working out with you and the nikster or jared at least',negative
73,'i really hate how people diss my bands  trace is clearly not ugly',negative
74,'gym attire today was puma singlet adidas shortsand black business socks and leather shoes  lucky did not run into any cute girls',negative
75,'why wont you show my location   url',negative
76,'no picnic  my phone smells like citrus',negative
77,'username my donkey is sensitive about such comments nevertheless hed and med be glad to see your mug asap charger is still awol ',negative
78,'no new csi tonight  fml',negative
79,'i think my arms are sore from tennis ',negative
80,'wonders why someone that u like so much can make you so unhappy in a split seccond  depressed  ',negative
81,'sleep soon i just hate saying bye and see you tomorrow for the night ',negative
82,'username just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine ',negative
83,'missin the boo ',negative
84,'username me too  itm',negative
85,'damn i dont have any chalk my chalkboard is useless ',negative
86,'had a blast at the getty villa but hates that shes had a sore throat all day its just getting worse too ',negative
87,'username hey missed ya at the meeting  sup mama',negative
88,'my tummy hurts  i wonder if the hypnosis has anything to do with it if so its working i get it stop smoking',negative
89,'why is it always the fat ones ',negative
90,'username sorry babe  my fam annoys me too thankfully theyre asleep right now muahaha evil laugh',negative
91,'username i should have paid more attention when we covered photoshop in my webpage design class in undergrad ',negative
92,'wednesday my bday dont know what 2 do ',negative
93,'poor cameron the hills ',negative
94,'pray for me please the ex is threatening to start sh at myour babies 1st birthday party what a jerk and i still have a headache ',negative
95,'username hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike',negative
96,'strider is a sick little puppy  url',negative
97,'so ryleegracewana go steves party or not sadly since its easter i wnt b able 2 do much  but ohh well',negative
98,'hey i actually won one of my bracket pools too bad it wasnt the one for money ',negative
99,'username you dont follow me either  and i work for you',negative
100,'a bad nite for the favorite teams astros and spartans lose  the nite out with tw was good',negative
101,' body of missing northern calif girl found police have found the remains of a missing northern california girl  url',negative
102,'username i hope they will increase the capacity fast yesterday was such a pain got the fail whale 15 times in 2 hours ',negative
103,'behind on my classes for work ',negative
104,'watching quothousequot ',negative
105,'username remember my bum leg strikes back this time its serious ',negative
106,'username cool i will their are all kinds of complaints about this laptop online about overheating but no recalls ',negative
107,'emily will be glad when mommy is done training at her new job she misses her  url',negative
108,'would rather the first party send bad messages than the 3rd party send mixed ones  sophmore year all over again',negative
109,'username its overrated ',negative
110,'username i know i heard it this afternoon and wondered the same thing moscow is so behind the times ',negative
111,'laying in bed with no voice ',negative
112,'im soo sad they killed off kutner on house  whyy',negative
113,'username sorry  tell them mea culpa from me and that i really am sorry',negative
114,'username it didnt make any sense to me the suicide thing i refuse to believe that that is actually what happened ',negative
115,'username  hope your ok',negative
116,'username damn the grind is inspirational and saddening at the same time  dont want you to stop cuz i like what u do much love',negative
117,'username yeah aw but i know i wudnt stand a chance ',negative
118,'ugh cant sleep its 130am ',negative
119,'hanging in crooners wanna sing cant sucks ',negative
120,'username aaw i miss ya all too im leaving to bh tomorrow quotmorningquot i think aww i wanna go to the beach w u girls ',negative
