@RELATION sentiment

@ATTRIBUTE tweet string
@ATTRIBUTE polarity {negative, positive}

@DATA
'username url  aww thats a bummer  you shoulda got david carr of third day to do it ', negative
'is upset that he cant update his facebook by texting it and might cry as a result  school today also blah', negative
'username i dived many times for the ball managed to save 50  the rest go out of bounds', negative
'my whole body feels itchy and like its on fire ', negative
'username no its not behaving at all im mad why am i here because i cant see you all over there ', negative
'username not the whole crew ', negative
'need a hug ', negative
'username hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you ', negative
'username nope they didnt have it ', negative
'username que me muera  ', negative
'spring break in plain city its snowing ', negative
'i just repierced my ears ', negative
'username i couldnt bear to watch it  and i thought the ua loss was embarrassing     ', negative
'username it it counts idk why i did either you never talk to me anymore ', negative
'username i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown', negative
'username i wish i got to watch it with you i miss you and username  how was the premiere', negative
'hollis death scene will hurt me severely to watch on film  wry is directors cut not out now', negative
'about to file taxes ', negative
'username ahh ive always wanted to see rent  love the soundtrack', negative
'username oh dear were you drinking out of the forgotten table drinks ', negative
'username i was out most of the day so didnt get much done ', negative
'one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh ', negative
'username i baked you a cake but i ated it ', negative
'this week is not going as i had hoped ', negative
'blagh class at 8 tomorrow ', negative
'i hate when i have to call and wake people up ', negative
'just going to cry myself to sleep after watching marley and me  ', negative
'im sad now  misslilly', negative
'ooh lol  that leslie and ok i wont do it again so leslie wont  get mad again ', negative
'meh almost lover is the exception this track gets me depressed every time ', negative
'some1 hacked my account on aim  now i have to make a new one', negative
'username i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though', negative
'thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon ', negative
'username awe i love you too 1 am here  i miss you', negative
'username i cry my asian eyes to sleep at night ', negative
'ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now ', negative
'username ill tell ya the story later  not a good day and ill be workin for like three more hours', negative
'username sorry bed time came here gmt1   url', negative
'username i dont either its depressing i dont think i even want to know about the kids in suitcases ', negative
'bed class 812 work 123 gym 35 or 6 then class 610 another day thats gonna fly by i miss my girlfriend ', negative
'really dont feel like getting up today but got to study to for tomorrows practical exam ', negative
'hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart ', negative
'sad sad sad i dont know why but i hate this feeling  i wanna sleep and i still cant', negative
'username aww i soo wish i was there to see you finally comfortable im sad that i missed it ', negative
'falling asleep just heard about that tracy girls body being found how sad  my heart breaks for that family', negative
'username yay im happy for you with your job but that also means less time for me and you ', negative
'just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w bgs and uids', negative
'oh manwas ironing username fave top to wear to a meeting burnt it ', negative
'is strangely sad about lilo and samro breaking up ', negative
'username oh im so sorry  i didnt think about that before retweeting', negative
'broadband plan a massive broken promise url via wwdiigocomtautao still waiting for broadband we are ', negative
'username wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot ', negative
'our duck and chicken are taking wayy too long to hatch ', negative
'put vacation photos online a few yrs ago pc crashed and now i forget the name of the site ', negative
'i need a hug ', negative
'username not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy ', negative
'username i hate when that happens ', negative
'i have a sad feeling that dallas is not going to show up  i gotta say though youd think more shows would use music from the game mm', negative
'ugh92 degrees tomorrow ', negative
'where did u move to  i thought u were already in sd  hmm random u found me glad to hear yer doing well', negative
'username i miss my ps3 its out of commission  wutcha playing have you copped blood on the sand', negative
'just leaving the parking lot of work ', negative
'the life is cool but not for me ', negative
'sadly though ive never gotten to experience the post coitus cigarette before and now i never will ', negative
'i had such a nice day too bad the rain comes in tomorrow at 5am ', negative
'username too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks ', negative
'damm back to school tomorrow ', negative
'mo jobs no money  how in the hell is min wage here 4 fn clams an hour', negative
'username  not forever see you soon', negative
'username agreed i saw the failwhale all day today ', negative
'username oh haha dude i dont really look at em unless someone says hey i added you sorry  im so terrible at that i need a pop up', negative
'username im sure youre right    i need to start working out with you and the nikster or jared at least', negative
'i really hate how people diss my bands  trace is clearly not ugly', negative
'gym attire today was puma singlet adidas shortsand black business socks and leather shoes  lucky did not run into any cute girls', negative
'why wont you show my location   url', negative
'no picnic  my phone smells like citrus', negative
'username my donkey is sensitive about such comments nevertheless hed and med be glad to see your mug asap charger is still awol ', negative
'no new csi tonight  fml', negative
'i think my arms are sore from tennis ', negative
'wonders why someone that u like so much can make you so unhappy in a split seccond  depressed  ', negative
'sleep soon i just hate saying bye and see you tomorrow for the night ', negative
'username just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine ', negative
'missin the boo ', negative
'username me too  itm', negative
'damn i dont have any chalk my chalkboard is useless ', negative
'had a blast at the getty villa but hates that shes had a sore throat all day its just getting worse too ', negative
'username hey missed ya at the meeting  sup mama', negative
'my tummy hurts  i wonder if the hypnosis has anything to do with it if so its working i get it stop smoking', negative
'why is it always the fat ones ', negative
'username sorry babe  my fam annoys me too thankfully theyre asleep right now muahaha evil laugh', negative
'username i should have paid more attention when we covered photoshop in my webpage design class in undergrad ', negative
'wednesday my bday dont know what 2 do ', negative
'poor cameron the hills ', negative
'pray for me please the ex is threatening to start sh at myour babies 1st birthday party what a jerk and i still have a headache ', negative
'username hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike', negative
'strider is a sick little puppy  url', negative
'so ryleegracewana go steves party or not sadly since its easter i wnt b able 2 do much  but ohh well', negative
'hey i actually won one of my bracket pools too bad it wasnt the one for money ', negative
'username you dont follow me either  and i work for you', negative
'a bad nite for the favorite teams astros and spartans lose  the nite out with tw was good', negative
' body of missing northern calif girl found police have found the remains of a missing northern california girl  url', negative
'username i hope they will increase the capacity fast yesterday was such a pain got the fail whale 15 times in 2 hours ', negative
'behind on my classes for work ', negative
'watching quothousequot ', negative
'username remember my bum leg strikes back this time its serious ', negative
'username cool i will their are all kinds of complaints about this laptop online about overheating but no recalls ', negative
'emily will be glad when mommy is done training at her new job she misses her  url', negative
'would rather the first party send bad messages than the 3rd party send mixed ones  sophmore year all over again', negative
'username its overrated ', negative
'username i know i heard it this afternoon and wondered the same thing moscow is so behind the times ', negative
'laying in bed with no voice ', negative
'im soo sad they killed off kutner on house  whyy', negative
'username sorry  tell them mea culpa from me and that i really am sorry', negative
'username it didnt make any sense to me the suicide thing i refuse to believe that that is actually what happened ', negative
'username  hope your ok', negative
'username damn the grind is inspirational and saddening at the same time  dont want you to stop cuz i like what u do much love', negative
'username yeah aw but i know i wudnt stand a chance ', negative
'ugh cant sleep its 130am ', negative
'hanging in crooners wanna sing cant sucks ', negative
'username aaw i miss ya all too im leaving to bh tomorrow quotmorningquot i think aww i wanna go to the beach w u girls ', negative
'is pissed off that theres no asbas for a radio station ', negative
'wednesday my bday n dont know what 2 do  ', negative
'i know my life has been flipped upside down when i just thought in my head that some ramen sounds good ', negative
'i am in pain my back and sides hurt not to mention crying is made of fail ', negative
'late night snack glass of oj bc im quotdown with the sicknessquot then back to sleepugh i hate getting sick ', negative
'username but but but im not a big fan on camilla belle ', negative
'username wah i cant see clip must be elstupido work filters cant wait till i get a puter something else 2 blame ex 4 he broke mine ', negative
'this week just seems to get longer and longer in terms of how much i need to do and how much im actually going to get done ', negative
'im so cold ', negative
'username ehh dont weathers gonna take a turn for the ugly tomorrow ', negative
'username haha its so coold in the d and no  but you should still go to the show they do some incredible stuff', negative
'hoping the tummy rumbles go away soon ', negative
'username no no notice they told me id be working tomorrow and then i called the agency to follow up and they said it was over ', negative
'almost bedtime ', negative
'im missing you babe  but as long as your alive im happy yawwnn im tired my love imma try to sleep hopefully you had a headstart', negative
'aghsnow ', negative
'i miss kenny powers ', negative
'username thank you for letting people know but now im sad that the direct message i got wasnt actually from bridget ', negative
'and india missed out its 100th test victory n 10th consecutive win without a loss ', negative
'username i guess thats a no then ', negative
'sadly is going to bed ', negative
'username shame to hear this stephan ', negative
'username hey im leavin in the morning ', negative
'was intending to finish editing my 536page novel manuscript tonight but that will probably not happen and only 12 pages are left ', negative
'laid around too much today now my head hurts ', negative
'username i still havent read the 9thamp10th princess diaries  saving francesca made me cry at the end hmm those are easy books', negative
'my nokia 110 died  ', negative
'my mom might have breast cancer wont find out anything for like a week im so worried ', negative
'going to sleep hoping tomorrow is a better day ', negative
'username lol wish they understood daylight savings has ended though and breakfast is an hour later  they keep waking the kids up too', negative
'username that is lame ', negative
'i dont understand i really dont ', negative
'heroes just isnt doing it for me this season ', negative
'living not downtown sure isnt much fun  ', negative
'username not calorie wise   i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke', negative
'man work is hard ', negative
'getting sick  time for some hot tea studying and then sleep', negative
'getting eyebrows waxed more pain ', negative
'no phantasy star yesterday  going to work', negative
'oh  just got all my macheist 30 apps  sweet didnt get the espresso serial no though although they said they sent it  oh well ', negative
'picked mich st to win it all from the get go  was feeling pretty good about that pick all the way up untiltonight  as lost too ', negative
'is alone downstairsworking ', negative
'i feel bad for doing it ', negative
'username is it just me or she hates anoop i mean seriously shes kinda mean to him ', negative
'username yes sprint has 4g only in baltimore and chicago so far ', negative
'im stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday ', negative
'thanks for bursting my bubble ', negative
'going to school soon cant find anything to wear gosh its so hard ', negative
'username i was serious  lol', negative
'username i had on my page for soo long until it got deleted  sad day in history', negative
'crazy wind today  no birding  url', negative
'currently at work ', negative
'grr my ipods acting weird too jai ho and thinking of you arent playing the full songs ughh ', negative
'username send me the dvd cos i have missed out on heaps  not happy about that', negative
'i dont see the big deal with this website ', negative
'username im so sorry youre having to go through this again  therapyfail', negative
'username far too out of the way for rail  any other tips', negative
'im not still up i swear why do i keep losing gaining losing gaining tweeps  so heart wrenching', negative
'today i realized i am too good at hiding things even i cant find it ', negative
